case_id,expert_path_proposed,expert_path_validated,review_status,notes_marcel
hb2-0001,"MES-DT-EAU > OBS-PURGEUR > MAN-PURGE","MES-DT-EAU > OBS-PURGEUR > MAN-PURGE",pending,
hb2-0002,"MES-PRESSION > OBS-PURGEUR > MAN-PURGE","MES-PRESSION > OBS-PURGEUR > MAN-PURGE",pending,
hb2-0003,"OBS-BRUIT-POMPE > MES-AMPERAGE > DEM-CIRCULATEUR > REM-CIRCULATEUR","OBS-BRUIT-POMPE > MES-AMPERAGE > DEM-CIRCULATEUR > REM-CIRCULATEUR",pending,
hb2-0004,"MES-DEBIT > OBS-BYPASS > MAN-REGLAGE-BYPASS","MES-DEBIT > OBS-BYPASS > MAN-REGLAGE-BYPASS",pending,
hb2-0005,"MES-PRESSION > MAN-REMPLISSAGE","MES-PRESSION > MAN-REMPLISSAGE",pending,
hb2-0006,"MES-PRESSION > OBS-PURGEUR > MAN-PURGE","MES-PRESSION > OBS-PURGEUR > MAN-PURGE",pending,
hb2-0007,"OBS-VANNE > MES-DT-EAU > MAN-FORCAGE-VENTILO","OBS-VANNE > MES-DT-EAU > MAN-FORCAGE-VENTILO",pending,
hb2-0008,"OBS-GELEE > MAN-NETTOYAGE-FILTRE > MAN-RESET","OBS-GELEE > MAN-NETTOYAGE-FILTRE > MAN-RESET",pending,
hb2-0009,"MES-PRESSION > MAN-REMPLISSAGE > MAN-PURGE","MES-PRESSION > MAN-REMPLISSAGE > MAN-PURGE",pending,
hb2-0010,"MES-SONDE > MES-DT-EAU > REM-SONDE","MES-SONDE > MES-DT-EAU > REM-SONDE",pending,
hb2-0011,"MES-DT-EAU > OBS-PURGEUR > MAN-PURGE","MES-DT-EAU > OBS-PURGEUR > MAN-PURGE",pending,
hb2-0012,"DEM-FILTRE > MAN-NETTOYAGE-FILTRE","DEM-FILTRE > MAN-NETTOYAGE-FILTRE",pending,
hb2-0013,"OBS-GELEE > MES-HP-BP > MAN-NETTOYAGE-FILTRE","OBS-GELEE > MES-HP-BP > MAN-NETTOYAGE-FILTRE",pending,
hb2-0014,"OBS-CONDENSATS > MAN-DESENGORGEMENT","OBS-CONDENSATS > MAN-DESENGORGEMENT",pending,
hb2-0015,"MES-CONTINUITE > MES-RESISTANCE > DEM-SONDE","MES-CONTINUITE > MES-RESISTANCE > DEM-SONDE",pending,
hb2-0016,"MES-PRESSION > MES-DT-EAU > MAN-PURGE","MES-PRESSION > MES-DT-EAU > MAN-PURGE",pending,
hb2-0017,"OBS-VANNE > DEM-FILTRE > MAN-NETTOYAGE-FILTRE","OBS-VANNE > DEM-FILTRE > MAN-NETTOYAGE-FILTRE",pending,
hb2-0018,"MES-DT-EAU > MAN-NETTOYAGE-FILTRE","MES-DT-EAU > MAN-NETTOYAGE-FILTRE",pending,
hb2-0019,"OBS-BRUIT-POMPE > MAN-RESET","OBS-BRUIT-POMPE > MAN-RESET",pending,
hb2-0020,"OBS-FUITE > DEM-FILTRE > MAN-NETTOYAGE-FILTRE","OBS-FUITE > DEM-FILTRE > MAN-NETTOYAGE-FILTRE",pending,
