edge_id,cause_id,quantity,direction_or_value,lr,status_before,status_after,resolved_source,resolved_at,arbiter,note
air_circuit|purgeur,air_circuit,purgeur,crache_air,moyen,draft,sourced,marcel:2026-07-27,2026-07-27,marcel,
bypass_ferme|bypass_ouvert,bypass_ferme,bypass_ouvert,non,moyen,draft,sourced,marcel:2026-07-27,2026-07-27,marcel,
carte_hs|hp_bar,carte_hs,hp_bar,in_range,faible,draft,sourced,marcel:2026-07-27,2026-07-27,marcel,
carte_hs|led_defaut,carte_hs,led_defaut,code,fort,draft,sourced,marcel:2026-07-27,2026-07-27,marcel,
charge_insuffisante|bp_bar,charge_insuffisante,bp_bar,low,fort,draft,sourced,marcel:2026-07-27,2026-07-27,marcel,
charge_insuffisante|givre,charge_insuffisante,givre,generalise,moyen,draft,sourced,marcel:2026-07-27,2026-07-27,marcel,
charge_insuffisante|hp_bar,charge_insuffisante,hp_bar,low,fort,draft,sourced,marcel:2026-07-27,2026-07-27,marcel,
compresseur_hs|amperage_compresseur,compresseur_hs,amperage_compresseur,low,moyen,draft,draft,,2026-07-27,marcel,Variable selon type compresseur
compresseur_hs|delta_hp_bp,compresseur_hs,delta_hp_bp,low,fort,draft,sourced,marcel:2026-07-27,2026-07-27,marcel,
condensats_bouches|condensats,condensats_bouches,condensats,bouche,fort,draft,sourced,marcel:2026-07-27,2026-07-27,marcel,
condensats_bouches|givre,condensats_bouches,givre,localise,moyen,draft,sourced,marcel:2026-07-27,2026-07-27,marcel,
defaut_transitoire|delta_t_eau,defaut_transitoire,delta_t_eau,in_range,faible,draft,sourced,marcel:2026-07-27,2026-07-27,marcel,
defaut_transitoire|led_defaut,defaut_transitoire,led_defaut,code,faible,draft,sourced,marcel:2026-07-27,2026-07-27,marcel,
degivrage_anormal|givre,degivrage_anormal,givre,localise,fort,draft,sourced,marcel:2026-07-27,2026-07-27,marcel,
degivrage_anormal|hp_bar,degivrage_anormal,hp_bar,in_range,faible,draft,sourced,marcel:2026-07-27,2026-07-27,marcel,
filtre_colmate|pression_circuit_bar,filtre_colmate,pression_circuit_bar,in_range,faible,draft,sourced,marcel:2026-07-27,2026-07-27,marcel,
flowswitch_hs|debit_l_min,flowswitch_hs,debit_l_min,in_range,fort,draft,sourced,marcel:2026-07-27,2026-07-27,marcel,
pompe_grippee|amperage_circulateur,pompe_grippee,amperage_circulateur,low,moyen,draft,draft,,2026-07-27,marcel,Dépend type pompe — à sourcer par famille
pompe_grippee|bruit_pompe,pompe_grippee,bruit_pompe,claquement,fort,draft,sourced,marcel:2026-07-27,2026-07-27,marcel,
pression_basse|delta_t_eau,pression_basse,delta_t_eau,high,moyen,draft,sourced,marcel:2026-07-27,2026-07-27,marcel,
sonde_hs|delta_sonde_k,sonde_hs,delta_sonde_k,high,fort,draft,sourced,marcel:2026-07-27,2026-07-27,marcel,
sonde_hs|t_depart,sonde_hs,t_depart,high,moyen,draft,sourced,marcel:2026-07-27,2026-07-27,marcel,
sous_dimension|delta_t_eau,sous_dimension,delta_t_eau,high,moyen,draft,sourced,marcel:2026-07-27,2026-07-27,marcel,
vanne_fermee|vanne_position,vanne_fermee,vanne_position,fermee,fort,draft,sourced,marcel:2026-07-27,2026-07-27,marcel,
